Прибор: ;Тест Студии;Интервал: ;2023-01-10 17:25:00; / ;2023-01-10 17:35:00;
date;system_Version;system_Upit;system_Worktime;system_RSSI;system_MAC;RTC_date;RTC_time;"BH1750_lux";"BH1750_blinkmin";"BH1750_blinkmax";"BH1750_blink";"TCS34725_isSaturated";"TCS34725_red";"TCS34725_green";"TCS34725_blue";"TCS34725_clear";"TCS34725_redC";"TCS34725_greenC";"TCS34725_blueC";"TCS34725_clearC";"TCS34725_ir";"TCS34725_colorTempCT";"TCS34725_lux";"TCS34725_luxDER";"TCS34725_luxMax";"TCS34725_luxCCT";"CCS811_eCO2";"CCS811_TVOC";"CCS811_ErrFlag";"CCS811_ErrCode";"BMP280_temp";"BMP280_pressure";"BME280_temp";"BME280_humidity";"BME280_pressure";"DS18B20_temp";"AM2321_temp";"AM2321_humidity";"SBM20_static";"SBM20_dynamic";"SBM20_impulses"
"2023-01-10 17:28:57";"2022-06-15";" 2,98";"540";"-56";"60:01:94:06:05:04";"2165-165-165";"165:165:85";"90,66";"83";"86";"1";"0";"23808";"15206";"10942";"48825";"23243";"14641";"10377";"48260";"565";"3092,00";"445,57";"0,07";"737,69";"7967,81";"7229";"1040";"0";"152";"0,00";"0,00";"0,00";"0,00";"0,01";"17,19";"0,00";"0,00";"0,0";"0,0";"0"
"2023-01-10 17:31:53";"2022-06-15";" 2,97";"600";"-59";"60:01:94:06:05:04";"2165-165-165";"165:165:85";"91,46";"83";"86";"1";"0";"23928";"15279";"11001";"49057";"23353";"14704";"10426";"48482";"575";"3091,98";"447,47";"0,07";"737,69";"7995,67";"5783";"820";"0";"152";"0,00";"0,00";"0,00";"0,00";"0,01";"17,81";"0,00";"0,00";"0,0";"0,0";"0"
